,Quarter,Time,Tm,Detail,OAK,BAL
0,1.0,8:45,Raiders,Doug Martin 1 yard rush (Daniel Carlson kick),7,0
1,1.0,4:28,Ravens,Justin Tucker 47 yard field goal,7,3
2,2.0,12:45,Ravens,Cyrus Jones 70 yard punt return (Justin Tucker kick),7,10
3,2.0,7:11,Ravens,Justin Tucker 28 yard field goal,7,13
4,2.0,2:34,Raiders,Daniel Carlson 42 yard field goal,10,13
5,3.0,8:10,Ravens,Lamar Jackson 5 yard rush (Justin Tucker kick),10,20
6,3.0,5:09,Raiders,Jared Cook 16 yard pass from Derek Carr (Daniel Carlson kick),17,20
7,4.0,11:16,Ravens,Michael Crabtree 8 yard pass from Lamar Jackson (Justin Tucker kick),17,27
8,4.0,5:55,Ravens,Terrell Suggs 43 yard fumble return (Justin Tucker kick),17,34
