,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Donald Igwebuike 36 yard field goal,0,3
1,1.0,Lions,Eddie Murray 32 yard field goal,3,3
2,1.0,Vikings,Donald Igwebuike 48 yard field goal,3,6
3,2.0,Lions,Barry Sanders 22 yard pass from Bob Gagliano (Eddie Murray kick),10,6
4,2.0,Vikings,Hassan Jones 11 yard pass from Rich Gannon (Donald Igwebuike kick),10,13
5,2.0,Vikings,Anthony Carter 8 yard pass from Rich Gannon (Donald Igwebuike kick),10,20
6,3.0,Lions,Richard Johnson 5 yard pass from Bob Gagliano (Eddie Murray kick),17,20
7,4.0,Lions,Eddie Murray 23 yard field goal,20,20
8,4.0,Lions,Terry Greer 16 yard pass from Bob Gagliano (Eddie Murray kick),27,20
9,4.0,Lions,Barry Sanders 1 yard rush (Eddie Murray kick),34,20
10,4.0,Vikings,Herschel Walker 2 yard rush (Donald Igwebuike kick),34,27
