,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,Harry Hopp 3 yard rush (Chuck Hanneman kick),0,7
1,3.0,Lions,Chuck Hanneman 8 yard field goal,0,10
2,4.0,Lions,Bill Fisk 26 yard pass from Ned Mathews (Augie Lio kick),0,17
3,4.0,Rams,Dante Magnani 27 yard pass from Marty Slovak (Chet Adams kick),7,17
