,Quarter,Time,Tm,Detail,BAL,CLE
0,1.0,9:46,Browns,Joe Jurevicius 2 yard pass from Derek Anderson (Phil Dawson kick),0,7
1,1.0,5:46,Browns,Braylon Edwards 78 yard pass from Derek Anderson (Phil Dawson kick),0,14
2,2.0,12:45,Ravens,Matt Stover 21 yard field goal,3,14
3,2.0,9:17,Browns,Phil Dawson 41 yard field goal,3,17
4,2.0,4:52,Browns,Jamal Lewis 1 yard rush (Phil Dawson kick),3,24
5,2.0,0:52,Ravens,Matt Stover 29 yard field goal,6,24
6,3.0,4:12,Browns,Phil Dawson 20 yard field goal,6,27
7,4.0,7:14,Ravens,Quinn Sypniewski 4 yard pass from Steve McNair (Matt Stover kick),13,27
