,Quarter,Time,Tm,Detail,CAR,ATL
0,1,,Panthers,Pete Metzelaars 8 yard pass from Frank Reich (John Kasay kick),7,0
1,1,,Panthers,John Kasay 39 yard field goal,10,0
2,1,,Falcons,Morten Andersen 27 yard field goal,10,3
3,1,,Panthers,John Kasay 41 yard field goal,13,3
4,2,,Falcons,J.J. Birden 12 yard pass from Jeff George (Morten Andersen kick),13,10
5,2,,Falcons,Morten Andersen 51 yard field goal,13,13
6,3,,Falcons,Bert Emanuel 5 yard pass from Jeff George (Morten Andersen kick),13,20
7,4,,Panthers,Willie Green 44 yard pass from Frank Reich (John Kasay kick),20,20
8,OT,,Falcons,Morten Andersen 35 yard field goal,20,23
