,Quarter,Tm,Detail,DEN,OAK
0,1.0,Raiders,Dave Casper 28 yard pass from Ken Stabler (Jim Breech kick),0,7
1,2.0,Broncos,Jim Turner 19 yard field goal,3,7
2,2.0,Raiders,Mark van Eeghen 1 yard rush (Jim Breech kick),3,14
3,4.0,Raiders,Jim Breech 27 yard field goal,3,17
4,4.0,Raiders,Jim Breech 21 yard field goal,3,20
5,4.0,Raiders,Monte Johnson defensive fumble recovery in end zone (Jim Breech kick),3,27
