,Quarter,Tm,Detail,DET,CHI
0,1,Bears,Wilber Marshall 12 yard defensive fumble return (Kevin Butler kick),0,7
1,2,Bears,Kevin Butler 29 yard field goal,0,10
2,3,Lions,Scott Williams 3 yard rush (Eddie Murray kick),7,10
3,4,Bears,Kevin Butler 27 yard field goal,7,13
