,Quarter,Tm,Detail,NYJ,IND
0,1.0,Jets,Al Toon 17 yard pass from Ken O'Brien (Pat Leahy kick),7,0
1,1.0,Jets,Freeman McNeil 15 yard rush (Pat Leahy kick),14,0
2,2.0,Colts,Raul Allegre 23 yard field goal,14,3
3,2.0,Jets,Wesley Walker 7 yard pass from Ken O'Brien (Pat Leahy kick),21,3
4,2.0,Jets,Rocky Klever 9 yard pass from Ken O'Brien (Pat Leahy kick),28,3
5,2.0,Jets,Dennis Bligen 28 yard rush (Pat Leahy kick),35,3
6,3.0,Colts,Pat Beach 2 yard pass from Mike Pagel (Raul Allegre kick),35,10
7,4.0,Colts,Matt Kofler 1 yard rush (Raul Allegre kick),35,17
