,Quarter,Tm,Detail,WAS,NYG
0,1.0,Giants,Hank Soar 43 yard rush (Ward Cuff kick),0,7
1,1.0,Giants,Bull Karcis 1 yard rush (Ward Cuff kick),0,14
2,3.0,Giants,Ward Cuff 36 yard field goal,0,17
3,3.0,Giants,Ward Cuff 96 yard interception return (Ward Cuff kick),0,24
4,4.0,Giants,Chuck Gelatka 28 yard pass from Tuffy Leemans,0,30
5,4.0,Giants,Chuck Gelatka 7 yard interception return,0,36
