,Quarter,Tm,Detail,HAM,RII
0,1.0,Independents,Buck Gavin unknown yard rush,0,6
1,2.0,Independents,Vince McCarthy 2 yard rush (Jim Thorpe kick),0,13
2,4.0,Independents,Buck Gavin 3 yard rush (Vince McCarthy kick),0,20
3,4.0,Independents,Buck Gavin 4 yard rush,0,26
