,Quarter,Tm,Detail,PHI,KAN
0,1.0,Chiefs,J.J. Birden 43 yard pass from Dave Krieg (Nick Lowery kick),0,7
1,2.0,Eagles,Roger Ruzek 49 yard field goal,3,7
2,2.0,Chiefs,J.J. Birden 24 yard pass from Dave Krieg (Nick Lowery kick),3,14
3,3.0,Chiefs,Willie Davis 74 yard pass from Dave Krieg (Nick Lowery kick),3,21
4,4.0,Chiefs,Nick Lowery 20 yard field goal,3,24
5,4.0,Eagles,Pat Beach 3 yard pass from Randall Cunningham (Roger Ruzek kick),10,24
6,4.0,Eagles,Pat Beach 3 yard pass from Randall Cunningham (Roger Ruzek kick),17,24
