,Quarter,Tm,Detail,PHI,CLE
0,1.0,Browns,Gary Collins 35 yard pass from Frank Ryan,0,6
1,2.0,Browns,Jim Brown 10 yard pass from Frank Ryan (Lou Groza kick),0,13
2,2.0,Eagles,Ron Goodwin 4 yard pass from Sonny Jurgensen (Mike Clark kick),7,13
3,2.0,Browns,Gary Collins 17 yard pass from Frank Ryan (Lou Groza kick),7,20
4,4.0,Browns,Gary Collins 14 yard pass from Frank Ryan (Lou Groza kick),7,27
5,4.0,Browns,Lou Groza 43 yard field goal,7,30
6,4.0,Browns,Charlie Scales 2 yard rush (Lou Groza kick),7,37
