,Quarter,Time,Tm,Detail,NWE,CHI
0,2.0,14:51,Bears,Paul Edinger 39 yard field goal,0,3
1,2.0,10:15,Patriots,Adam Vinatieri 57 yard field goal,3,3
2,2.0,5:31,Bears,Paul Edinger 40 yard field goal,3,6
3,2.0,0:04,Patriots,Adam Vinatieri 31 yard field goal,6,6
4,3.0,12:21,Bears,Stanley Pritchett 11 yard pass from Jim Miller (Paul Edinger kick),6,13
5,3.0,10:09,Bears,Marcus Robinson 44 yard pass from Marty Booker (Paul Edinger kick),6,20
6,3.0,6:42,Bears,Anthony Thomas 2 yard rush (Paul Edinger kick),6,27
7,3.0,3:04,Patriots,Kevin Faulk 15 yard pass from Tom Brady (Adam Vinatieri kick),13,27
8,3.0,1:50,Patriots,Adam Vinatieri 42 yard field goal,16,27
9,4.0,11:02,Patriots,Adam Vinatieri 25 yard field goal,19,27
10,4.0,5:22,Bears,Paul Edinger 32 yard field goal,19,30
11,4.0,2:46,Patriots,Kevin Faulk 36 yard pass from Tom Brady (run failed),25,30
12,4.0,0:21,Patriots,David Patten 20 yard pass from Tom Brady (Troy Brown pass from Tom Brady ),33,30
