,Quarter,Tm,Detail,CHI,NYG
0,1.0,Giants,Matt Bahr 46 yard field goal,0,3
1,1.0,Giants,Stephen Baker 21 yard pass from Jeff Hostetler (Matt Bahr kick),0,10
2,2.0,Bears,Kevin Butler 33 yard field goal,3,10
3,2.0,Giants,Howard Cross 5 yard pass from Jeff Hostetler (Matt Bahr kick),3,17
4,3.0,Giants,Jeff Hostetler 3 yard rush (Matt Bahr kick),3,24
5,4.0,Giants,Maurice Carthon 1 yard rush (Matt Bahr kick),3,31
