,Quarter,Time,Tm,Detail,NYJ,HOU
0,2.0,14:53,Texans,Nick Novak 20 yard field goal,0,3
1,2.0,8:21,Jets,Randy Bullock 40 yard field goal,3,3
2,2.0,3:04,Texans,DeAndre Hopkins 61 yard pass from T.J. Yates (Nick Novak kick),3,10
3,3.0,11:23,Jets,Brandon Marshall 21 yard pass from Ryan Fitzpatrick (Randy Bullock kick),10,10
4,3.0,7:51,Texans,Alfred Blue 21 yard pass from Cecil Shorts (Nick Novak kick),10,17
5,3.0,3:24,Texans,DeAndre Hopkins 20 yard pass from T.J. Yates (Nick Novak kick),10,24
6,4.0,4:20,Jets,Ryan Fitzpatrick 6 yard rush (Randy Bullock kick),17,24
