,Quarter,Tm,Detail,KAN,DEN
0,1.0,Chiefs,Jonathan Hayes 11 yard pass from Joe Montana (Nick Lowery kick),7,0
1,1.0,Broncos,Jason Elam 36 yard field goal,7,3
2,2.0,Chiefs,Marcus Allen 4 yard rush (Nick Lowery kick),14,3
3,2.0,Broncos,Shannon Sharpe 9 yard pass from John Elway (Jason Elam kick),14,10
4,3.0,Broncos,Shannon Sharpe 14 yard pass from John Elway (Jason Elam kick),14,17
5,3.0,Chiefs,Willie Davis 29 yard pass from Joe Montana (Nick Lowery kick),21,17
6,4.0,Broncos,Shannon Sharpe 6 yard pass from John Elway (Jason Elam kick),21,24
7,4.0,Broncos,Jason Elam 53 yard field goal,21,27
