,Quarter,Time,Tm,Detail,SFO,CIN
0,1.0,11:21,49ers,Marquise Goodwin 38 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,0
1,1.0,6:44,Bengals,Tyler Eifert 1 yard pass from Andy Dalton (Randy Bullock kick),7,7
2,1.0,2:46,49ers,Raheem Mostert 39 yard pass from Jimmy Garoppolo (Robbie Gould kick),14,7
3,2.0,10:11,49ers,Jeff Wilson 2 yard rush (Robbie Gould kick),21,7
4,2.0,7:02,Bengals,Randy Bullock 37 yard field goal,21,10
5,2.0,0:06,49ers,Robbie Gould 33 yard field goal,24,10
6,3.0,12:15,49ers,Deebo Samuel 2 yard pass from Jimmy Garoppolo (Robbie Gould kick),31,10
7,3.0,4:39,49ers,Robbie Gould 38 yard field goal,34,10
8,4.0,15:00,49ers,Jeff Wilson 4 yard rush (Robbie Gould kick),41,10
9,4.0,0:56,Bengals,John Ross 66 yard pass from Andy Dalton (Randy Bullock kick),41,17
