,Quarter,Tm,Detail,BUF,NWE
0,1.0,Patriots,Sam Cunningham 7 yard rush,0,6
1,1.0,Bills,O.J. Simpson 80 yard rush (John Leypoldt kick),7,6
2,2.0,Bills,John Leypoldt 48 yard field goal,10,6
3,3.0,Bills,Larry Watkins 4 yard rush (John Leypoldt kick),17,6
4,3.0,Patriots,Mack Herron 10 yard rush (Bill Bell kick),17,13
5,4.0,Bills,O.J. Simpson 22 yard rush (John Leypoldt kick),24,13
6,4.0,Bills,Larry Watkins 15 yard rush (John Leypoldt kick),31,13
