,Quarter,Tm,Detail,MIA,BAL
0,1.0,Colts,Lydell Mitchell 64 yard rush (Toni Linhart kick),0,7
1,1.0,Dolphins,Freddie Solomon 90 yard kickoff return (Garo Yepremian kick),7,7
2,1.0,Dolphins,Benny Malone 52 yard rush (Garo Yepremian kick),14,7
3,1.0,Colts,Toni Linhart 41 yard field goal,14,10
4,2.0,Dolphins,Leroy Harris 1 yard rush (Garo Yepremian kick),21,10
5,2.0,Dolphins,Benny Malone 66 yard rush (Garo Yepremian kick),28,10
6,2.0,Colts,Glenn Doughty 3 yard pass from Bert Jones (Toni Linhart kick),28,17
7,2.0,Colts,Raymond Chester 19 yard pass from Bert Jones (Toni Linhart kick),28,24
8,3.0,Colts,Don McCauley 34 yard pass from Bert Jones (Toni Linhart kick),28,31
9,3.0,Colts,Glenn Doughty 5 yard pass from Bert Jones (Toni Linhart kick),28,38
10,4.0,Colts,Don McCauley 1 yard rush (Toni Linhart kick),28,45
