,Quarter,Tm,Detail,CIN,PHI
0,2.0,Bengals,James Brooks 16 yard pass from Boomer Esiason (Jim Breech kick),7,0
1,2.0,Eagles,Calvin Williams 10 yard pass from Jim McMahon (Roger Ruzek kick),7,7
2,4.0,Eagles,James Joseph 1 yard rush (Roger Ruzek kick),7,14
3,4.0,Eagles,Roger Ruzek 37 yard field goal,7,17
4,4.0,Bengals,Jim Breech 38 yard field goal,10,17
