,Quarter,Tm,Detail,MIN,PIT
0,1.0,Steelers,Mike Mularkey 15 yard pass from Bubby Brister (Gary Anderson kick),0,7
1,1.0,Vikings,Wade Wilson 1 yard rush (Teddy Garcia kick),7,7
2,2.0,Steelers,Tim Worley 8 yard rush (Gary Anderson kick),7,14
3,2.0,Vikings,Henry Thomas 27 yard defensive fumble return (Teddy Garcia kick),14,14
4,2.0,Steelers,Merril Hoge 2 yard rush (Gary Anderson kick),14,21
5,4.0,Steelers,Gary Anderson 38 yard field goal,14,24
6,4.0,Steelers,Gary Anderson 44 yard field goal,14,27
