,Quarter,Time,Tm,Detail,IND,NWE
0,1.0,10:09,Patriots,Adam Vinatieri 32 yard field goal,0,3
1,2.0,13:40,Colts,Mike Vanderjagt 32 yard field goal,3,3
2,2.0,8:02,Colts,Dominic Rhodes 3 yard rush (Mike Vanderjagt kick),10,3
3,2.0,3:04,Patriots,Deion Branch 16 yard pass from Tom Brady (Adam Vinatieri kick),10,10
4,2.0,0:42,Colts,Marvin Harrison 3 yard pass from Peyton Manning (Mike Vanderjagt kick),17,10
5,2.0,0:00,Patriots,Adam Vinatieri 43 yard field goal,17,13
6,3.0,10:48,Patriots,David Patten 25 yard pass from Tom Brady (Adam Vinatieri kick),17,20
7,3.0,1:23,Patriots,Daniel Graham 8 yard pass from Tom Brady (Adam Vinatieri kick),17,27
8,4.0,11:05,Colts,Brandon Stokley 7 yard pass from Peyton Manning (Mike Vanderjagt kick),24,27
