,Quarter,Tm,Detail,DAL,RAM
0,1.0,Rams,Mike Lansford 33 yard field goal,0,3
1,3.0,Rams,Eric Dickerson 55 yard rush (Mike Lansford kick),0,10
2,3.0,Rams,Mike Lansford 34 yard field goal,0,13
3,4.0,Rams,Eric Dickerson 40 yard rush (Mike Lansford kick),0,20
