,Quarter,Tm,Detail,CRD,CHI
0,2.0,Cardinals,Joe Lillard 51 yard punt return,6,0
1,2.0,Cardinals,Joe Lillard 30 yard field goal,9,0
2,3.0,Bears,Luke Johnsos 8 yard pass from Bill Hewitt (Jack Manders kick),9,7
3,4.0,Bears,"Safety, Musso blocked kick out of end zone",9,9
4,4.0,Bears,Jack Manders 30 yard field goal,9,12
