,Quarter,Tm,Detail,TAM,NOR
0,1.0,Buccaneers,Dave Green 40 yard field goal,3,0
1,2.0,Buccaneers,Dave Green 25 yard field goal,6,0
2,2.0,Buccaneers,Morris Owens 5 yard pass from Gary Huff (Dave Green kick),13,0
3,3.0,Buccaneers,Mike Washington 45 yard interception return (Dave Green kick),20,0
4,4.0,Buccaneers,Richard Wood 10 yard interception return,26,0
5,4.0,Saints,Archie Manning 2 yard rush (Rich Szaro kick),26,7
6,4.0,Buccaneers,Greg Johnson defensive fumble recovery in end zone (Dave Green kick),33,7
7,4.0,Saints,John Gilliam 11 yard pass from Archie Manning (Rich Szaro kick),33,14
