,Quarter,Tm,Detail,BKN,DET
0,2.0,Tigers,Ray Hare 65 yard pass from Charlie McGibbony (Bruiser Kinard kick),7,0
1,2.0,Lions,Frankie Sinkwich 4 yard rush (Frankie Sinkwich kick),7,7
2,3.0,Lions,Frankie Sinkwich 72 yard rush,7,13
3,3.0,Lions,Bob Westfall 1 yard rush,7,19
4,4.0,Tigers,Pug Manders 1 yard rush (Bruiser Kinard kick),14,19
