,Quarter,Tm,Detail,WAS,PIT
0,1.0,Redskins,Wayne Millner 56 yard pass from Frank Filchock (Bo Russell kick),7,0
1,1.0,Redskins,Andy Farkas 40 yard pass from Frank Filchock (Bo Russell kick),14,0
2,2.0,Pirates,Sam Boyd unknown yard pass from Coley McDonough (Armand Niccolai kick),14,7
3,3.0,Redskins,Don Irwin 25 yard rush (Andy Farkas kick),21,7
4,4.0,Pirates,Boyd Brumbaugh unknown yard pass from Coley McDonough (Armand Niccolai kick),21,14
