,Quarter,Tm,Detail,WAS,BKN
0,4.0,Redskins,Bob Seymour 71 yard pass from Sammy Baugh (Joe Aguirre kick),7,0
1,4.0,Redskins,Joe Aguirre 25 yard field goal,10,0
