,Quarter,Time,Tm,Detail,DEN,ARI
0,1.0,12:00,Broncos,Javon Walker 54 yard pass from Jay Cutler (Jason Elam kick),7,0
1,1.0,8:51,Broncos,Jason Elam 30 yard field goal,10,0
2,2.0,12:59,Broncos,Jason Elam 22 yard field goal,13,0
3,2.0,8:12,Cardinals,Neil Rackers 49 yard field goal,13,3
4,2.0,7:53,Cardinals,Antonio Smith 4 yard defensive fumble return (Neil Rackers kick),13,10
5,2.0,0:57,Broncos,Jason Elam 30 yard field goal,16,10
6,3.0,8:54,Broncos,Rod Smith 10 yard pass from Jay Cutler (Jason Elam kick),23,10
7,3.0,2:19,Cardinals,Neil Rackers 38 yard field goal,23,13
8,4.0,13:51,Broncos,Mike Bell 1 yard rush (Jason Elam kick),30,13
9,4.0,7:46,Cardinals,Edgerrin James 4 yard rush (Neil Rackers kick),30,20
10,4.0,2:44,Broncos,Mike Bell 1 yard rush (Jason Elam kick),37,20
