,Quarter,Tm,Detail,OAK,WAS
0,1,Raiders,Pete Banaszak 1 yard rush,6,0
1,2,Redskins,Charley Taylor 8 yard pass from Billy Kilmer,6,6
2,2,Redskins,Mark Moseley 34 yard field goal,6,9
3,2,Raiders,Pete Banaszak 27 yard rush (George Blanda kick),13,9
4,2,Raiders,Pete Banaszak 7 yard rush (George Blanda kick),20,9
5,3,Redskins,Mike Thomas 2 yard rush (Mark Moseley kick),20,16
6,4,Raiders,George Blanda 22 yard field goal,23,16
7,4,Redskins,Frank Grant 33 yard pass from Billy Kilmer (Mark Moseley kick),23,23
8,OT,Raiders,George Blanda 27 yard field goal,26,23
