,Quarter,Tm,Detail,RAM,PHI
0,1.0,Rams,Henry Ellard 39 yard pass from Jim Everett (Mike Lansford kick),7,0
1,1.0,Rams,Damone Johnson 4 yard pass from Jim Everett (Mike Lansford kick),14,0
2,4.0,Eagles,Anthony Toney 1 yard rush (Roger Ruzek kick),14,7
3,4.0,Rams,Greg Bell 7 yard rush (Mike Lansford kick),21,7
