,Quarter,Tm,Detail,MIN,DET
0,1,Vikings,Fuad Reveiz 37 yard field goal,3,0
1,2,Vikings,Fuad Reveiz 29 yard field goal,6,0
2,4,Vikings,Lamar McGriggs 63 yard interception return (Fuad Reveiz kick),13,0
