,Quarter,Tm,Detail,BUF,STL
0,1.0,Cardinals,Neil O'Donoghue 35 yard field goal,0,3
1,2.0,Cardinals,Stump Mitchell 2 yard pass from Neil Lomax (Neil O'Donoghue kick),0,10
2,4.0,Cardinals,Ottis Anderson 18 yard rush (Neil O'Donoghue kick),0,17
3,4.0,Cardinals,Ottis Anderson 8 yard rush (Neil O'Donoghue kick),0,24
