,Quarter,Tm,Detail,CHI,BOS
0,1.0,Bears,Red Grange 8 yard rush (Tiny Engebretsen kick),7,0
1,1.0,Braves,Cliff Battles 30 yard pass from Honolulu Hughes (Honolulu Hughes kick),7,7
