,Quarter,Time,Tm,Detail,CLE,NWE
0,1.0,9:41,Patriots,Adam Vinatieri 54 yard field goal,0,3
1,1.0,1:21,Browns,Phil Dawson 27 yard field goal,3,3
2,1.0,1:02,Browns,Corey Fuller 49 yard interception return (Phil Dawson kick),10,3
3,2.0,9:39,Patriots,Antowain Smith 1 yard rush (Adam Vinatieri kick),10,10
4,2.0,3:28,Patriots,Troy Brown 85 yard punt return (Adam Vinatieri kick),10,17
5,2.0,0:03,Patriots,Adam Vinatieri 38 yard field goal,10,20
6,3.0,10:45,Browns,Phil Dawson 39 yard field goal,13,20
7,4.0,12:39,Browns,Phil Dawson 22 yard field goal,16,20
8,4.0,2:43,Patriots,Antowain Smith 5 yard rush (Adam Vinatieri kick),16,27
