,Quarter,Tm,Detail,DEN,OAK
0,1.0,Raiders,Charlie Smith 1 yard rush (George Blanda kick),0,7
1,2.0,Raiders,Clarence Davis 8 yard rush (George Blanda kick),0,14
2,2.0,Broncos,Jim Turner 50 yard field goal,3,14
3,3.0,Broncos,Haven Moses 13 yard pass from Charley Johnson (Jim Turner kick),10,14
4,4.0,Raiders,Mike Siani 31 yard pass from Ken Stabler (George Blanda kick),10,21
5,4.0,Broncos,Riley Odoms 14 yard pass from Steve Ramsey (Jim Turner kick),17,21
