,Quarter,Tm,Detail,FRN,BUF
0,2.0,Yellow Jackets,Jack Storer unknown yard rush (Jim Welsh kick),7,0
1,3.0,Yellow Jackets,Tex Hamer unknown yard rush (Jim Welsh kick),14,0
2,4.0,Yellow Jackets,Jim Welsh 45 yard field goal,17,0
3,4.0,Yellow Jackets,Les Haws unknown yard rush (Jim Welsh kick),24,0
