,Quarter,Tm,Detail,MIN,DET
0,1.0,Vikings,Hal Bedsole 15 yard pass from Fran Tarkenton (Fred Cox kick),7,0
1,2.0,Lions,Jim Gibbons 5 yard pass from Milt Plum,7,6
2,2.0,Vikings,Fred Cox 20 yard field goal,10,6
3,3.0,Vikings,Fred Cox 45 yard field goal,13,6
4,3.0,Vikings,Jim Prestel 26 yard interception return (Fred Cox kick),20,6
5,3.0,Lions,Sam Williams 4 yard defensive fumble return (Wayne Walker kick),20,13
6,4.0,Lions,Terry Barr 18 yard pass from Milt Plum (Wayne Walker kick),20,20
7,4.0,Vikings,Fred Cox 39 yard field goal,23,20
8,4.0,Lions,Wayne Walker 37 yard field goal,23,23
