,Quarter,Time,Tm,Detail,HOU,TEN
0,1.0,10:23,Texans,Ron Dayne 1 yard rush (Kris Brown kick),7,0
1,1.0,4:03,Titans,LenDale White 1 yard rush (Rob Bironas kick),7,7
2,2.0,1:04,Texans,Kris Brown 45 yard field goal,10,7
3,3.0,11:15,Titans,Roydell Williams 43 yard pass from Vince Young (Rob Bironas kick),10,14
4,3.0,0:47,Titans,Justin Gage 11 yard pass from Vince Young (Rob Bironas kick),10,21
5,4.0,12:14,Texans,Andre Johnson 28 yard pass from Sage Rosenfels (Kris Brown kick),17,21
6,4.0,9:49,Titans,Chris Brown 7 yard rush (Rob Bironas kick),17,28
7,4.0,4:54,Texans,Kris Brown 50 yard field goal,20,28
