,Quarter,Tm,Detail,NYG,CHI
0,1.0,Giants,Don Chandler 26 yard field goal,3,0
1,1.0,Bears,Mike Ditka offensive fumble recovery in end zone (Roger LeClerc kick),3,7
2,1.0,Giants,Joe Walton 37 yard pass from Y.A. Tittle (Don Chandler kick),10,7
3,1.0,Bears,Johnny Morris 30 yard pass from Billy Wade (Roger LeClerc kick),10,14
4,2.0,Giants,Del Shofner 24 yard pass from Y.A. Tittle (Don Chandler kick),17,14
5,3.0,Giants,Don Chandler 47 yard field goal,20,14
6,3.0,Bears,Roger LeClerc 31 yard field goal,20,17
7,3.0,Giants,Don Chandler 37 yard field goal,23,17
8,4.0,Giants,Don Chandler 16 yard field goal,26,17
9,4.0,Bears,Angelo Coia 25 yard pass from Billy Wade (Roger LeClerc kick),26,24
