,Quarter,Tm,Detail,PIT,PHI
0,1.0,Pirates,Armand Niccolai 28 yard field goal,3,0
1,4.0,Pirates,Angelo Brovelli 5 yard rush,9,0
2,4.0,Eagles,Bob Gonya 4 yard pass from Dan Barnhart (Red Kirkman kick),9,7
