,Quarter,Time,Tm,Detail,CLE,BAL
0,1.0,2:57,Browns,Ricky Seals-Jones 9 yard pass from Baker Mayfield (Austin Seibert kick),7,0
1,2.0,2:00,Ravens,Miles Boykin 9 yard pass from Lamar Jackson (Justin Tucker kick),7,7
2,2.0,0:11,Browns,Austin Seibert 24 yard field goal,10,7
3,3.0,11:19,Ravens,Justin Tucker 41 yard field goal,10,10
4,3.0,9:49,Browns,Nick Chubb 14 yard rush (Austin Seibert kick),17,10
5,3.0,0:58,Browns,Nick Chubb 2 yard rush (Austin Seibert kick),24,10
6,4.0,9:55,Ravens,Mark Andrews 8 yard pass from Lamar Jackson (Mark Ingram run),24,18
7,4.0,9:47,Browns,Nick Chubb 88 yard rush (pass failed),30,18
8,4.0,7:01,Browns,Austin Seibert 43 yard field goal,33,18
9,4.0,2:17,Browns,Dontrell Hilliard 1 yard rush (Austin Seibert kick),40,18
10,4.0,0:40,Ravens,Willie Snead 50 yard pass from Lamar Jackson (Justin Tucker kick),40,25
