,Quarter,Time,Tm,Detail,ATL,TAM
0,1.0,7:10,Falcons,Tim Dwight 8 yard rush (Morten Andersen kick),7,0
1,1.0,0:53,Falcons,Morten Andersen 28 yard field goal,10,0
2,2.0,9:13,Buccaneers,Martin Gramatica 24 yard field goal,10,3
3,2.0,0:08,Buccaneers,Martin Gramatica 26 yard field goal,10,6
4,4.0,5:32,Buccaneers,Martin Gramatica 50 yard field goal,10,9
5,4.0,0:58,Buccaneers,Martin Gramatica 53 yard field goal,10,12
6,4.0,0:27,Buccaneers,Donnie Abraham 47 yard interception return (Martin Gramatica kick),10,19
