,Quarter,Tm,Detail,PIT,DET
0,1.0,Lions,Lew Carpenter 73 yard interception return (Doak Walker kick),0,7
1,1.0,Steelers,Elbie Nickel 14 yard pass from Jim Finks (Nick Bolkovac kick),7,7
2,2.0,Lions,Gene Gedman 1 yard rush (Doak Walker kick),7,14
3,2.0,Lions,Doak Walker 40 yard field goal,7,17
4,2.0,Steelers,Ray Mathews 1 yard fumble return (Nick Bolkovac kick),14,17
5,2.0,Lions,Leon Hart 49 yard pass from Bobby Layne (Doak Walker kick),14,24
6,3.0,Lions,Doak Walker 8 yard pass from Bob Hoernschemeyer (Doak Walker kick),14,31
7,4.0,Lions,Bob Hoernschemeyer 29 yard pass from Bobby Layne (Doak Walker kick),14,38
8,4.0,Steelers,Elbie Nickel 15 yard pass from Ted Marchibroda (Nick Bolkovac kick),21,38
