,Quarter,Tm,Detail,CLE,TAM
0,1.0,Buccaneers,Lars Tate 1 yard rush (Donald Igwebuike kick),0,7
1,1.0,Browns,Eric Metcalf 24 yard pass from Bernie Kosar (Matt Bahr kick),7,7
2,2.0,Browns,Lawyer Tillman 7 yard pass from Bernie Kosar (Matt Bahr kick),14,7
3,2.0,Browns,Felix Wright 27 yard interception return (Matt Bahr kick),21,7
4,2.0,Browns,Thane Gash 15 yard interception return (Matt Bahr kick),28,7
5,2.0,Buccaneers,James Wilder 9 yard pass from Vinny Testaverde (Donald Igwebuike kick),28,14
6,2.0,Browns,Derek Tennell 4 yard pass from Bernie Kosar (Matt Bahr kick),35,14
7,2.0,Buccaneers,Donald Igwebuike 53 yard field goal,35,17
8,3.0,Buccaneers,James Wilder 9 yard pass from Vinny Testaverde (Donald Igwebuike kick),35,24
9,4.0,Browns,Eric Metcalf 43 yard rush (Matt Bahr kick),42,24
10,4.0,Buccaneers,Lars Tate 1 yard rush (Donald Igwebuike kick),42,31
