,Quarter,Time,Tm,Detail,WAS,STL
0,1.0,11:31,Rams,Steven Jackson 42 yard rush (Josh Brown kick),0,7
1,1.0,8:48,Rams,Daniel Fells 3 yard pass from Sam Bradford (Josh Brown kick),0,14
2,2.0,14:50,Redskins,Graham Gano 29 yard field goal,3,14
3,2.0,14:37,Redskins,Santana Moss 21 yard pass from Donovan McNabb (Graham Gano kick),10,14
4,2.0,7:37,Redskins,Graham Gano 24 yard field goal,13,14
5,3.0,12:39,Redskins,Graham Gano 21 yard field goal,16,14
6,3.0,7:15,Rams,Kenneth Darby 12 yard rush (Josh Brown kick),16,21
7,4.0,11:35,Rams,Josh Brown 37 yard field goal,16,24
8,4.0,4:22,Rams,Josh Brown 29 yard field goal,16,27
9,4.0,1:44,Rams,Josh Brown 36 yard field goal,16,30
