,Quarter,Time,Tm,Detail,MIA,OAK
0,1.0,,Raiders,Tim Brown 24 yard pass from Jeff George (Cole Ford kick),0,7
1,1.0,,Dolphins,Olindo Mare 28 yard field goal,3,7
2,2.0,,Dolphins,Charles Jordan 8 yard pass from Dan Marino (Olindo Mare kick),10,7
3,2.0,,Dolphins,Charles Jordan 44 yard pass from Dan Marino (Olindo Mare kick),17,7
4,3.0,,Raiders,Cole Ford 44 yard field goal,17,10
5,3.0,,Dolphins,Karim Abdul-Jabbar 2 yard rush (Olindo Mare kick),24,10
6,3.0,,Dolphins,Tim Bowens defensive fumble recovery in end zone (Olindo Mare kick),31,10
7,4.0,,Raiders,James Jett 27 yard pass from Jeff George,31,16
8,4.0,,Dolphins,Olindo Mare 42 yard field goal,34,16
