,Quarter,Time,Tm,Detail,IND,GNB
0,1.0,14:47,Colts,Jordan Todman 99 yard kickoff return (Adam Vinatieri kick),7,0
1,1.0,10:46,Packers,Mason Crosby 34 yard field goal,7,3
2,1.0,4:28,Colts,Frank Gore 7 yard rush (Adam Vinatieri kick),14,3
3,1.0,0:00,Packers,Jordy Nelson 26 yard pass from Aaron Rodgers (Mason Crosby kick),14,10
4,2.0,12:05,Colts,Adam Vinatieri 28 yard field goal,17,10
5,2.0,0:11,Colts,Donte Moncrief 8 yard pass from Andrew Luck (Adam Vinatieri kick),24,10
6,3.0,1:46,Packers,Mason Crosby 27 yard field goal,24,13
7,4.0,9:35,Colts,Frank Gore 4 yard rush (Adam Vinatieri kick),31,13
8,4.0,7:40,Packers,Davante Adams 2 yard pass from Aaron Rodgers (pass failed),31,19
9,4.0,3:29,Packers,Randall Cobb 3 yard pass from Aaron Rodgers (Mason Crosby kick),31,26
