,Quarter,Tm,Detail,CHI,RAM
0,2.0,Bears,George McAfee 14 yard rush (Bob Snyder kick),7,0
1,2.0,Bears,Bernie Masterson 1 yard rush (Dick Plasman kick),14,0
2,3.0,Rams,Parker Hall 12 yard rush (Chet Adams kick),14,7
3,3.0,Bears,Gary Famiglietti unknown yard rush (Jack Manders kick),21,7
4,3.0,Rams,Dante Magnani 25 yard pass from Parker Hall (Chet Adams kick),21,14
