,Quarter,Tm,Detail,SEA,CIN
0,2.0,Seahawks,John Kasay 32 yard field goal,3,0
1,2.0,Seahawks,John Kasay 35 yard field goal,6,0
2,3.0,Seahawks,John Kasay 23 yard field goal,9,0
3,4.0,Bengals,Doug Pelfrey 23 yard field goal,9,3
4,4.0,Bengals,Carl Pickens 21 yard pass from Jay Schroeder (Doug Pelfrey kick),9,10
5,4.0,Seahawks,Rod Stephens defensive fumble recovery in end zone (John Kasay kick),16,10
6,4.0,Seahawks,John Kasay 35 yard field goal,19,10
