,Quarter,Tm,Detail,CHI,DET
0,2.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),7,0
1,3.0,Bears,Bob Thomas 28 yard field goal,10,0
2,3.0,Bears,"Safety, Hart tackled Landry in end zone",12,0
3,3.0,Bears,James Scott 40 yard pass from Bob Avellini (Bob Thomas kick),19,0
