,Quarter,Tm,Detail,GNB,CHI
0,1.0,Bears,Jack Manders 23 yard field goal,0,3
1,1.0,Bears,Bill Hewitt 53 yard fumble return (Jack Manders kick),0,10
2,2.0,Packers,Don Hutson 9 yard pass from Arnie Herber (Ernie Smith kick),7,10
3,2.0,Packers,Clarke Hinkle 59 yard rush (Ernie Smith kick),14,10
4,4.0,Packers,George Sauer 2 yard rush (Tiny Engebretsen kick),21,10
