,Quarter,Tm,Detail,NOR,STL
0,1.0,Saints,Charlie Durkee 41 yard field goal,3,0
1,1.0,Cardinals,Johnny Roland 54 yard rush (Jim Bakken kick),3,7
2,2.0,Saints,Charlie Durkee 16 yard field goal,6,7
3,3.0,Cardinals,Jackie Smith 20 yard pass from Jim Hart (Jim Bakken kick),6,14
4,3.0,Saints,Billy Kilmer 1 yard rush (Charlie Durkee kick),13,14
5,3.0,Cardinals,Jim Bakken 27 yard field goal,13,17
6,4.0,Cardinals,Prentice Gautt 19 yard rush (Jim Bakken kick),13,24
7,4.0,Cardinals,Jackie Smith 76 yard pass from Jim Hart (Jim Bakken kick),13,31
8,4.0,Saints,Charlie Brown 4 yard rush (Charlie Durkee kick),20,31
