,Quarter,Tm,Detail,WAS,SDG
0,1.0,Redskins,Virgil Seay 39 yard pass from Joe Theismann (Mark Moseley kick),7,0
1,1.0,Chargers,Chuck Muncie 5 yard rush (Rolf Benirschke kick),7,7
2,2.0,Redskins,Mark Moseley 43 yard field goal,10,7
3,3.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),17,7
4,4.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),24,7
5,4.0,Chargers,Pete Holohan 23 yard pass from Ed Luther (Rolf Benirschke kick),24,14
6,4.0,Chargers,Wes Chandler 27 yard pass from Ed Luther (Rolf Benirschke kick),24,21
7,4.0,Chargers,Rolf Benirschke 43 yard field goal,24,24
8,4.0,Redskins,Mark Moseley 37 yard field goal,27,24
