,Quarter,Time,Tm,Detail,KAN,ARI
0,2.0,1:13,Chiefs,Steve Bono 76 yard rush (Lin Elliott kick),7,0
1,2.0,1:13,Chiefs,Joe Valerio 1 yard pass from Steve Bono (Lin Elliott kick),14,0
2,3.0,1:13,Chiefs,Lake Dawson 14 yard pass from Steve Bono (Lin Elliott kick),21,0
3,3.0,1:13,Chiefs,Lin Elliott 28 yard field goal,24,0
4,4.0,1:13,Cardinals,Greg Davis 48 yard field goal,24,3
