,Quarter,Tm,Detail,CHI,DET
0,1.0,Bears,Bill Osmanski 12 yard rush (Frank Maznicki kick),7,0
1,1.0,Bears,Frank Maznicki 13 yard field goal,10,0
2,1.0,Bears,George McAfee 21 yard pass from Sid Luckman (Frank Maznicki kick),17,0
3,1.0,Lions,Jack Helms 32 yard field goal,17,3
4,2.0,Lions,John Greene 14 yard pass from Dave Ryan (Jack Helms kick),17,10
5,2.0,Bears,Jim Keane 41 yard pass from Sid Luckman (Frank Maznicki kick),24,10
6,2.0,Bears,Bill Osmanski 10 yard rush (Frank Maznicki kick),31,10
7,3.0,Bears,Hugh Gallarneau 21 yard rush (Frank Maznicki kick),38,10
8,3.0,Lions,Bob Cifers 29 yard pass from Jim Callahan (Jack Helms kick),38,17
9,3.0,Bears,Ed Sprinkle 20 yard pass from Tom Farris (Frank Maznicki kick),45,17
10,4.0,Lions,Camp Wilson 1 yard rush (Jack Helms kick),45,24
