,Quarter,Tm,Detail,BUF,NWE
0,3,Patriots,Leonard Russell 2 yard rush (Scott Sisson kick),0,7
1,4,Patriots,Scott Sisson 27 yard field goal,0,10
2,4,Bills,Pete Metzelaars 9 yard pass from Jim Kelly (Steve Christie kick),7,10
3,4,Bills,Steve Christie 27 yard field goal,10,10
4,OT,Bills,Steve Christie 30 yard field goal,13,10
