,Quarter,Time,Tm,Detail,NYG,PHI
0,1.0,,Giants,Brad Daluiso 43 yard field goal,3,0
1,2.0,,Eagles,Duce Staley 64 yard rush (Chris Boniol kick),3,7
2,2.0,,Giants,Brad Daluiso 33 yard field goal,6,7
3,2.0,0:38,Eagles,Chris Boniol 19 yard field goal,6,10
4,3.0,0:38,Giants,Chris Calloway 5 yard pass from Kent Graham (Brad Daluiso kick),13,10
5,4.0,0:38,Giants,Chris Calloway 18 yard pass from Kent Graham (Brad Daluiso kick),20,10
