,Quarter,Tm,Detail,RAM,HOU
0,1.0,Oilers,Skip Butler 8 yard field goal,0,3
1,1.0,Rams,Jack Snow 38 yard pass from John Hadl (David Ray kick),7,3
2,1.0,Oilers,Skip Butler 35 yard field goal,7,6
3,2.0,Rams,Tony Baker 5 yard rush (David Ray kick),14,6
4,2.0,Oilers,Skip Butler 37 yard field goal,14,9
5,2.0,Rams,Harold Jackson 15 yard pass from John Hadl (David Ray kick),21,9
6,3.0,Oilers,Skip Butler 36 yard field goal,21,12
7,3.0,Rams,Harold Jackson 69 yard pass from John Hadl (David Ray kick),28,12
8,3.0,Rams,David Ray 17 yard field goal,31,12
9,4.0,Oilers,Bob Gresham 4 yard rush (Skip Butler kick),31,19
10,4.0,Oilers,Larry Eaglin 14 yard blocked punt return (Skip Butler kick),31,26
