,Quarter,Tm,Detail,CLE,STL
0,1.0,Cardinals,Johnny Roland 3 yard rush (Jim Bakken kick),0,7
1,1.0,Browns,Paul Warfield 4 yard pass from Bill Nelsen (Don Cockroft kick),7,7
2,2.0,Browns,Don Cockroft 25 yard field goal,10,7
3,2.0,Browns,Don Cockroft 33 yard field goal,13,7
4,3.0,Browns,Leroy Kelly 5 yard rush (Don Cockroft kick),20,7
5,3.0,Browns,Paul Warfield 82 yard pass from Bill Nelsen (Don Cockroft kick),27,7
6,4.0,Cardinals,MacArthur Lane 2 yard rush (Jim Bakken kick),27,14
7,4.0,Cardinals,Charley Johnson 1 yard rush (Jim Bakken kick),27,21
