,Quarter,Tm,Detail,CIN,NWE
0,1.0,Patriots,Tony Franklin 25 yard field goal,0,3
1,1.0,Bengals,Jim Breech 42 yard field goal,3,3
2,1.0,Patriots,Stanley Morgan 50 yard pass from Tony Eason (Tony Franklin kick),3,10
3,2.0,Bengals,Jim Breech 22 yard field goal,6,10
4,2.0,Patriots,Tony Collins 9 yard rush (Tony Franklin kick),6,17
5,2.0,Patriots,Tony Franklin 30 yard field goal,6,20
6,3.0,Bengals,Eddie Brown 33 yard pass from Boomer Esiason (Jim Breech kick),13,20
7,4.0,Bengals,Jim Breech 30 yard field goal,16,20
8,4.0,Patriots,Craig James 11 yard rush (Tony Franklin kick),16,27
9,4.0,Bengals,Cris Collinsworth 8 yard pass from Boomer Esiason (Jim Breech kick),23,27
10,4.0,Patriots,Robert Weathers 42 yard rush (Tony Franklin kick),23,34
