,Quarter,Tm,Detail,HOU,PIT
0,1.0,Steelers,Roy Gerela 44 yard field goal,0,3
1,2.0,Oilers,Fred Willis 6 yard pass from Dan Pastorini (Skip Butler kick),7,3
2,2.0,Steelers,Franco Harris 31 yard pass from Terry Bradshaw (Roy Gerela kick),7,10
3,3.0,Oilers,Skip Butler 42 yard field goal,10,10
4,4.0,Oilers,Skip Butler 34 yard field goal,13,10
