,Quarter,Time,Tm,Detail,LAR,TAM
0,1.0,11:58,Rams,Brian Quick 44 yard pass from Case Keenum (Greg Zuerlein kick),7,0
1,1.0,8:45,Buccaneers,Kwon Alexander 38 yard interception return (Roberto Aguayo kick failed),7,6
2,1.0,2:26,Rams,Greg Zuerlein 53 yard field goal,10,6
3,2.0,12:23,Buccaneers,Charles Sims 1 yard rush (Roberto Aguayo kick),10,13
4,2.0,6:03,Buccaneers,Cameron Brate 3 yard pass from Jameis Winston (Roberto Aguayo kick),10,20
5,2.0,0:22,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),17,20
6,3.0,0:48,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),24,20
7,4.0,11:39,Rams,Ethan Westbrooks 77 yard defensive fumble return (Greg Zuerlein kick),31,20
8,4.0,8:55,Buccaneers,Cameron Brate 1 yard pass from Jameis Winston (pass failed),31,26
9,4.0,4:38,Rams,Tavon Austin 43 yard pass from Case Keenum (run failed),37,26
10,4.0,2:15,Buccaneers,Mike Evans 7 yard pass from Jameis Winston (pass failed),37,32
