,Quarter,Tm,Detail,IND,PHI
0,1.0,Eagles,Roger Ruzek 22 yard field goal,0,3
1,1.0,Colts,Jessie Hester 5 yard pass from Jack Trudeau (Dean Biasucci kick),7,3
2,2.0,Eagles,Keith Jackson 35 yard pass from Randall Cunningham (Roger Ruzek kick),7,10
3,2.0,Eagles,Fred Barnett 21 yard pass from Randall Cunningham (Roger Ruzek kick),7,17
4,2.0,Colts,Dean Biasucci 41 yard field goal,10,17
5,3.0,Eagles,Roger Ruzek 44 yard field goal,10,20
6,3.0,Colts,Albert Bentley 26 yard rush (Dean Biasucci kick),17,20
7,4.0,Eagles,Roger Ruzek 31 yard field goal,17,23
8,4.0,Colts,Bill Brooks 6 yard pass from Jack Trudeau (Dean Biasucci kick),24,23
